model,target,task_type,feature_block,heldout_checkpoint,train_checkpoints,test_n,test_r2,test_mae,test_spearman,target_mean,target_std,test_auc,test_log_loss,test_balanced_accuracy,n_positive,n_negative
llama,cumulative_kl_base_to_current,regression,A,5,"20,40,160",16,-2524.3983510868725,0.04833826456834604,0.5147058823529412,0.0024289270655780126,0.0010797528470276876,,,,,
llama,cumulative_kl_base_to_current,regression,A,20,"5,40,160",16,-0.2427398184175713,0.030797714614674288,0.6735294117647058,0.03171307223848403,0.03414451780796325,,,,,
llama,cumulative_kl_base_to_current,regression,A,40,"5,20,160",16,0.31773060902948824,0.034452589430020816,0.8117647058823528,0.059363143376217245,0.06117051185097477,,,,,
llama,cumulative_kl_base_to_current,regression,A,160,"5,20,40",16,-0.5065504731871977,0.07950641079868434,0.4264705882352941,0.09717701095045134,0.08060373728001352,,,,,
llama,cumulative_kl_base_to_current,regression,C,5,"20,40,160",16,-145.6510409824397,0.011811963038620213,0.788235294117647,0.0024289270655780126,0.0010797528470276876,,,,,
llama,cumulative_kl_base_to_current,regression,C,20,"5,40,160",16,0.45786709511752477,0.019117280430310413,0.9,0.03171307223848403,0.03414451780796325,,,,,
llama,cumulative_kl_base_to_current,regression,C,40,"5,20,160",16,0.8689635885566749,0.016757593718798286,0.8676470588235294,0.059363143376217245,0.06117051185097477,,,,,
llama,cumulative_kl_base_to_current,regression,C,160,"5,20,40",16,0.6312111236955228,0.03888123670211499,0.7058823529411764,0.09717701095045134,0.08060373728001352,,,,,
llama,cumulative_kl_base_to_current,regression,Pk,5,"20,40,160",16,-1294.5357298458428,0.034524477722185004,0.6548461875980991,0.0024289270655780126,0.0010797528470276876,,,,,
llama,cumulative_kl_base_to_current,regression,Pk,20,"5,40,160",16,-3.515573044913334,0.042768275984921965,0.47294446882084934,0.03171307223848403,0.03414451780796325,,,,,
llama,cumulative_kl_base_to_current,regression,Pk,40,"5,20,160",16,0.6177945666880735,0.02874067391035432,0.6184658438426491,0.059363143376217245,0.06117051185097477,,,,,
llama,cumulative_kl_base_to_current,regression,Pk,160,"5,20,40",16,-0.11560030478211636,0.0690995715972244,0.0727606875108999,0.09717701095045134,0.08060373728001352,,,,,
llama,cumulative_kl_base_to_current,regression,A+C,5,"20,40,160",16,-505.0327128680434,0.019838972118903585,0.5147058823529412,0.0024289270655780126,0.0010797528470276876,,,,,
llama,cumulative_kl_base_to_current,regression,A+C,20,"5,40,160",16,0.20406985074088868,0.023701535662277423,0.8911764705882352,0.03171307223848403,0.03414451780796325,,,,,
llama,cumulative_kl_base_to_current,regression,A+C,40,"5,20,160",16,0.8833595869939629,0.016487044310298325,0.8705882352941177,0.059363143376217245,0.06117051185097477,,,,,
llama,cumulative_kl_base_to_current,regression,A+C,160,"5,20,40",16,0.6436055322490004,0.03817476148659576,0.6558823529411765,0.09717701095045134,0.08060373728001352,,,,,
llama,cumulative_kl_base_to_current,regression,Pk+A,5,"20,40,160",16,-1836.979723337059,0.03795883469833404,0.6911764705882353,0.0024289270655780126,0.0010797528470276876,,,,,
