model,target,task_type,feature_block,features,n_common,n_checkpoint_groups,checkpoint_groups,n_oof,r2_oof,mae_oof,spearman_oof,delta_r2_vs_A,mae_reduction_vs_A,delta_spearman_vs_A,delta_r2_vs_C,mae_reduction_vs_C,delta_spearman_vs_C,delta_r2_vs_Pk,mae_reduction_vs_Pk,delta_spearman_vs_Pk,auc_oof,log_loss_oof,balanced_accuracy_oof,delta_auc_vs_A,log_loss_reduction_vs_A,delta_balanced_accuracy_vs_A,delta_auc_vs_C,log_loss_reduction_vs_C,delta_balanced_accuracy_vs_C,delta_auc_vs_Pk,log_loss_reduction_vs_Pk,delta_balanced_accuracy_vs_Pk
llama,cumulative_kl_base_to_current,regression,A,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,"5,20,40,160",64,-0.026953379288296553,0.04827374485293137,0.3798534798534798,0.0,0.0,0.0,-0.8005418733779176,-0.0266317263804704,-0.5510531135531136,-0.07861412977495397,-0.004490495049260218,-0.26528522082700773,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,C,c_epsilon,64,4,"5,20,40,160",64,0.773588494089621,0.021642018472460972,0.9309065934065933,0.8005418733779176,0.0266317263804704,0.5510531135531136,0.0,0.0,0.0,0.7219277436029636,0.02214123133121018,0.2857678927261058,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,Pk,"p_k4,p_k8,p_k16,p_k32",64,4,"5,20,40,160",64,0.051660750486657414,0.043783249803671154,0.6451387006804875,0.07861412977495397,0.004490495049260218,0.26528522082700773,-0.7219277436029636,-0.02214123133121018,-0.2857678927261058,0.0,0.0,0.0,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,A+C,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,"5,20,40,160",64,0.7379645870559702,0.024550578394518775,0.9093864468864469,0.7649179663442668,0.023723166458412596,0.5295329670329672,-0.035623907033650815,-0.002908559922057803,-0.021520146520146444,0.6863038365693128,0.01923267140915238,0.26424774620595937,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,Pk+A,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,"5,20,40,160",64,0.07732722264608072,0.0445901129302841,0.7837454212454212,0.10428060193437727,0.003683631922647271,0.40389194139194146,-0.6962612714435403,-0.02294809445782313,-0.14716117216117208,0.025666472159423304,-0.0008068631266129472,0.13860672056493373,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,Pk+C,"p_k4,p_k8,p_k16,p_k32,c_epsilon",64,4,"5,20,40,160",64,0.5555040557893642,0.03082277569890472,0.863095238095238,0.5824574350776608,0.017450969154026653,0.48324175824175825,-0.2180844383002568,-0.009180757226443747,-0.06781135531135529,0.5038433053027068,0.012960474104766435,0.21795653741475052,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,Pk+A+C,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,"5,20,40,160",64,0.5965249914096287,0.02960657853403237,0.8718406593406592,0.6234783706979252,0.018667166318899003,0.49198717948717946,-0.17706350267999238,-0.007964560061571396,-0.05906593406593408,0.5448642409229713,0.014176671269638785,0.22670195866017173,,,,,,,,,,,,
llama,absolute_delta_nll_cumulative,regression,A,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,"5,20,40,160",64,-0.15554518450366217,0.10063454755432913,0.3139194139194139,0.0,0.0,0.0,-1.001047232136672,-0.06056550823687876,-0.5618131868131867,-0.28126576940299897,-0.020399613387854162,-0.3840634124140829,,,,,,,,,,,,
llama,absolute_delta_nll_cumulative,regression,C,c_epsilon,64,4,"5,20,40,160",64,0.8455020476330096,0.04006903931745037,0.8757326007326006,1.001047232136672,0.06056550823687876,0.5618131868131867,0.0,0.0,0.0,0.7197814627336728,0.040165894849024594,0.17774977439910378,,,,,,,,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk,"p_k4,p_k8,p_k16,p_k32",64,4,"5,20,40,160",64,0.1257205848993368,0.08023493416647497,0.6979828263334968,0.28126576940299897,0.020399613387854162,0.3840634124140829,-0.7197814627336728,-0.040165894849024594,-0.17774977439910378,0.0,0.0,0.0,,,,,,,,,,,,
