model,target,task_type,feature_block,heldout_checkpoint,selected_regularization,selection_metric,inner_grid,test_n,test_r2,test_mae,test_spearman,target_mean,target_std,test_auc,test_log_loss,test_balanced_accuracy,n_positive,n_negative
llama,cumulative_kl_base_to_current,regression,A,5,0.0001,inner_mean_mae,"[{""inner_mean_mae"": 0.060673313449113205, ""regularization"": 0.0}, {""inner_mean_mae"": 0.03784535853882894, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.039153514109788956, ""regularization"": 0.001}, {""inner_mean_mae"": 0.041651627331537926, ""regularization"": 0.01}, {""inner_mean_mae"": 0.042337778449893566, ""regularization"": 0.1}, {""inner_mean_mae"": 0.04232320816024002, ""regularization"": 1.0}, {""inner_mean_mae"": 0.0450221171890837, ""regularization"": 10.0}, {""inner_mean_mae"": 0.05065495540348955, ""regularization"": 100.0}]",16,-2706.491605152494,0.05056996188474226,0.44117647058823534,0.0024289270655780126,0.0010797528470276876,,,,,
llama,cumulative_kl_base_to_current,regression,A,20,1.0,inner_mean_mae,"[{""inner_mean_mae"": 0.09396929933871778, ""regularization"": 0.0}, {""inner_mean_mae"": 0.04976125653901511, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.05070627618807011, ""regularization"": 0.001}, {""inner_mean_mae"": 0.05113038338374748, ""regularization"": 0.01}, {""inner_mean_mae"": 0.048503822850779366, ""regularization"": 0.1}, {""inner_mean_mae"": 0.04602449113398264, ""regularization"": 1.0}, {""inner_mean_mae"": 0.05039752373246309, ""regularization"": 10.0}, {""inner_mean_mae"": 0.05699647237537875, ""regularization"": 100.0}]",16,0.1818562413939404,0.023173688775235964,0.6676470588235294,0.03171307223848403,0.03414451780796325,,,,,
llama,cumulative_kl_base_to_current,regression,A,40,1.0,inner_mean_mae,"[{""inner_mean_mae"": 0.06242116115999589, ""regularization"": 0.0}, {""inner_mean_mae"": 0.045629753190452926, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.04544298540381695, ""regularization"": 0.001}, {""inner_mean_mae"": 0.044747366667119794, ""regularization"": 0.01}, {""inner_mean_mae"": 0.043006922916376734, ""regularization"": 0.1}, {""inner_mean_mae"": 0.040778342123331784, ""regularization"": 1.0}, {""inner_mean_mae"": 0.044390279910048076, ""regularization"": 10.0}, {""inner_mean_mae"": 0.05305256725866867, ""regularization"": 100.0}]",16,0.1863265285884228,0.0336537293348895,0.5147058823529412,0.059363143376217245,0.06117051185097477,,,,,
llama,cumulative_kl_base_to_current,regression,A,160,1.0,inner_mean_mae,"[{""inner_mean_mae"": 0.03844392884695049, ""regularization"": 0.0}, {""inner_mean_mae"": 0.031143185601489935, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.03137774742792095, ""regularization"": 0.001}, {""inner_mean_mae"": 0.03148773653648182, ""regularization"": 0.01}, {""inner_mean_mae"": 0.030288120329126967, ""regularization"": 0.1}, {""inner_mean_mae"": 0.02839160228232802, ""regularization"": 1.0}, {""inner_mean_mae"": 0.02975790389949769, ""regularization"": 10.0}, {""inner_mean_mae"": 0.03400848612762435, ""regularization"": 100.0}]",16,-0.14507439417163526,0.059684630621537976,0.27058823529411763,0.09717701095045134,0.08060373728001352,,,,,
llama,cumulative_kl_base_to_current,regression,C,5,1.0,inner_mean_mae,"[{""inner_mean_mae"": 0.025350417579296885, ""regularization"": 0.0}, {""inner_mean_mae"": 0.025350375811034487, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.025349999908419806, ""regularization"": 0.001}, {""inner_mean_mae"": 0.025346242044858348, ""regularization"": 0.01}, {""inner_mean_mae"": 0.02530877930597045, ""regularization"": 0.1}, {""inner_mean_mae"": 0.02498596550601406, ""regularization"": 1.0}, {""inner_mean_mae"": 0.0254280007196451, ""regularization"": 10.0}, {""inner_mean_mae"": 0.04310091478018102, ""regularization"": 100.0}]",16,-121.71264582275225,0.010788487890131529,0.788235294117647,0.0024289270655780126,0.0010797528470276876,,,,,
llama,cumulative_kl_base_to_current,regression,C,20,1.0,inner_mean_mae,"[{""inner_mean_mae"": 0.022398845714634977, ""regularization"": 0.0}, {""inner_mean_mae"": 0.02239878883545568, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.022398276938838654, ""regularization"": 0.001}, {""inner_mean_mae"": 0.022393159555853845, ""regularization"": 0.01}, {""inner_mean_mae"": 0.02234214355183617, ""regularization"": 0.1}, {""inner_mean_mae"": 0.02184728831286467, ""regularization"": 1.0}, {""inner_mean_mae"": 0.02230533477980907, ""regularization"": 10.0}, {""inner_mean_mae"": 0.0461734339338243, ""regularization"": 100.0}]",16,0.4821843042689087,0.01873476029714681,0.9,0.03171307223848403,0.03414451780796325,,,,,
llama,cumulative_kl_base_to_current,regression,C,40,10.0,inner_mean_mae,"[{""inner_mean_mae"": 0.025025086385265922, ""regularization"": 0.0}, {""inner_mean_mae"": 0.025025022751294188, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.025024450063445003, ""regularization"": 0.001}, {""inner_mean_mae"": 0.025018724956152632, ""regularization"": 0.01}, {""inner_mean_mae"": 0.024961650451958518, ""regularization"": 0.1}, {""inner_mean_mae"": 0.024408027761275652, ""regularization"": 1.0}, {""inner_mean_mae"": 0.022903541175347954, ""regularization"": 10.0}, {""inner_mean_mae"": 0.046768838411700354, ""regularization"": 100.0}]",16,0.8144475197409785,0.015918447871225015,0.8676470588235294,0.059363143376217245,0.06117051185097477,,,,,
llama,cumulative_kl_base_to_current,regression,C,160,10.0,inner_mean_mae,"[{""inner_mean_mae"": 0.016282673175890265, ""regularization"": 0.0}, {""inner_mean_mae"": 0.01628262019679828, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.016282143399870323, ""regularization"": 0.001}, {""inner_mean_mae"": 0.016277376905220405, ""regularization"": 0.01}, {""inner_mean_mae"": 0.016229858962761853, ""regularization"": 0.1}, {""inner_mean_mae"": 0.01577945739200973, ""regularization"": 1.0}, {""inner_mean_mae"": 0.014954135556917275, ""regularization"": 10.0}, {""inner_mean_mae"": 0.028772801956531396, ""regularization"": 100.0}]",16,0.532885032107815,0.0406039913077183,0.7058823529411764,0.09717701095045134,0.08060373728001352,,,,,
llama,cumulative_kl_base_to_current,regression,Pk,5,10.0,inner_mean_mae,"[{""inner_mean_mae"": 0.05863980484631038, ""regularization"": 0.0}, {""inner_mean_mae"": 0.05859660776164675, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.05822905845099535, ""regularization"": 0.001}, {""inner_mean_mae"": 0.05591912068664658, ""regularization"": 0.01}, {""inner_mean_mae"": 0.04944356244541181, ""regularization"": 0.1}, {""inner_mean_mae"": 0.039455752360393406, ""regularization"": 1.0}, {""inner_mean_mae"": 0.03557106552552656, ""regularization"": 10.0}, {""inner_mean_mae"": 0.03914858216934889, ""regularization"": 100.0}]",16,-67.15453108466248,0.007961962112700493,0.5093248125762992,0.0024289270655780126,0.0010797528470276876,,,,,
llama,cumulative_kl_base_to_current,regression,Pk,20,0.1,inner_mean_mae,"[{""inner_mean_mae"": 0.03009863455373657, ""regularization"": 0.0}, {""inner_mean_mae"": 0.030049336393427384, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.029631783845040633, ""regularization"": 0.001}, {""inner_mean_mae"": 0.027059284961166274, ""regularization"": 0.01}, {""inner_mean_mae"": 0.026131577700410736, ""regularization"": 0.1}, {""inner_mean_mae"": 0.027986657177686308, ""regularization"": 1.0}, {""inner_mean_mae"": 0.028331310670242773, ""regularization"": 10.0}, {""inner_mean_mae"": 0.03701229991720898, ""regularization"": 100.0}]",16,-2.2723718581280568,0.03703979214025517,0.47294446882084934,0.03171307223848403,0.03414451780796325,,,,,
