model,target,task_type,feature_block,features,n_common,n_checkpoint_groups,checkpoint_groups,n_oof,r2_oof,mae_oof,spearman_oof,delta_r2_vs_A,mae_reduction_vs_A,delta_spearman_vs_A,delta_r2_vs_C,mae_reduction_vs_C,delta_spearman_vs_C,delta_r2_vs_Pk,mae_reduction_vs_Pk,delta_spearman_vs_Pk,auc_oof,log_loss_oof,balanced_accuracy_oof,delta_auc_vs_A,log_loss_reduction_vs_A,delta_balanced_accuracy_vs_A,delta_auc_vs_C,log_loss_reduction_vs_C,delta_balanced_accuracy_vs_C,delta_auc_vs_Pk,log_loss_reduction_vs_Pk,delta_balanced_accuracy_vs_Pk
llama,cumulative_kl_base_to_current,regression,A,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,"5,20,40,160",64,0.10434708817706384,0.04177050265410143,0.5270604395604395,0.0,0.0,0.0,-0.6209714767783145,-0.020259080812546015,-0.40755494505494505,-0.2864823731773283,-0.012449306626951578,-0.3215648421936148,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,C,c_epsilon,64,4,"5,20,40,160",64,0.7253185649553784,0.02151142184155541,0.9346153846153845,0.6209714767783145,0.020259080812546015,0.40755494505494505,0.0,0.0,0.0,0.33448910360098627,0.007809774185594438,0.08599010286133024,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,Pk,"p_k4,p_k8,p_k16,p_k32",64,4,"5,20,40,160",64,0.3908294613543921,0.02932119602714985,0.8486252817540543,0.2864823731773283,0.012449306626951578,0.3215648421936148,-0.33448910360098627,-0.007809774185594438,-0.08599010286133024,0.0,0.0,0.0,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,A+C,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,"5,20,40,160",64,0.7302327377773876,0.021904366156423338,0.9358974358974358,0.6258856496003238,0.01986613649767809,0.40883699633699633,0.004914172822009233,-0.0003929443148679261,0.0012820512820512775,0.3394032764229955,0.0074168298707265115,0.08727215414338152,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,Pk+A,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,"5,20,40,160",64,0.5585414084288888,0.028231581006772914,0.8519688644688643,0.45419432025182493,0.013538921647328513,0.32490842490842486,-0.1667771565264896,-0.006720159165217503,-0.08264652014652019,0.16771194707449666,0.0010896150203769349,0.003343582714810056,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,Pk+C,"p_k4,p_k8,p_k16,p_k32,c_epsilon",64,4,"5,20,40,160",64,0.6781238402900214,0.022221954798633467,0.9178571428571427,0.5737767521129575,0.01954854785546796,0.39079670329670324,-0.04719472466535701,-0.0007105329570780555,-0.01675824175824181,0.28729437893562926,0.007099241228516382,0.06923186110308843,,,,,,,,,,,,
llama,cumulative_kl_base_to_current,regression,Pk+A+C,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,"5,20,40,160",64,0.6976270450451516,0.025014173782279332,0.8775641025641024,0.5932799568680878,0.016756328871822095,0.350503663003663,-0.02769151991022678,-0.0035027519407239208,-0.05705128205128207,0.3067975836907595,0.004307022244870517,0.02893882081004817,,,,,,,,,,,,
llama,absolute_delta_nll_cumulative,regression,A,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,"5,20,40,160",64,0.18141032502322296,0.07869315944257654,0.4168498168498168,0.0,0.0,0.0,-0.6640917247027872,-0.038624120736412956,-0.4588827838827838,-0.3285601567394373,-0.011603008917780488,-0.2873715520954936,,,,,,,,,,,,
llama,absolute_delta_nll_cumulative,regression,C,c_epsilon,64,4,"5,20,40,160",64,0.8455020497260102,0.04006903870616359,0.8757326007326006,0.6640917247027872,0.038624120736412956,0.4588827838827838,0.0,0.0,0.0,0.33553156796334993,0.027021111818632468,0.17151123178729022,,,,,,,,,,,,
llama,absolute_delta_nll_cumulative,regression,Pk,"p_k4,p_k8,p_k16,p_k32",64,4,"5,20,40,160",64,0.5099704817626602,0.06709015052479606,0.7042213689453104,0.3285601567394373,0.011603008917780488,0.2873715520954936,-0.33553156796334993,-0.027021111818632468,-0.17151123178729022,0.0,0.0,0.0,,,,,,,,,,,,
