checkpoint,dataset,metric,draws,seed,mean,ci95_low,ci95_high,bootstrap_mean,bootstrap_std,sign_probability_bootstrap_gt0,sign_probability_bootstrap_lt0
20,math500,response_whitespace_tokens,2000,42,238.868,139.43115,333.0967499999999,238.875558,49.38198324802919,1.0,0.0
20,math500,eos,2000,42,-0.184,-0.246,-0.124,-0.183472,0.03085548923611486,0.0,1.0
20,math500,truncated,2000,42,0.184,0.124,0.246,0.183472,0.03085548923611486,1.0,0.0
20,math500,fourgram_repetition,2000,42,-0.04348238897318939,-0.07645831257669151,-0.010904397885253828,-0.043412650661700726,0.016754574517292092,0.006,0.994
20,math500,distinct_2,2000,42,0.00222948351242348,-0.028226299286636423,0.034316569182771095,0.0021074269353985927,0.016101703512704495,0.5405,0.4595
20,math500,boxed,2000,42,-0.064,-0.122,-0.006,-0.063349,0.029871026078794147,0.0135,0.982
20,math500,think_tag,2000,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,math500,response_whitespace_tokens,2000,42,-3136.034,-3648.0355999999997,-2603.1494500000003,-3135.8788339999996,271.3099306176102,0.0,1.0
40,math500,eos,2000,42,0.18,0.118,0.242,0.179508,0.0313417602568841,1.0,0.0
40,math500,truncated,2000,42,-0.18,-0.242,-0.118,-0.179508,0.0313417602568841,0.0,1.0
40,math500,fourgram_repetition,2000,42,-0.32352701766673053,-0.3636767217780075,-0.28290679901541066,-0.3234997574019714,0.02075542392644424,0.0,1.0
40,math500,distinct_2,2000,42,0.2606308464905308,0.22654628104245778,0.29524021350675184,0.2605303912026815,0.017754893660361554,1.0,0.0
40,math500,boxed,2000,42,0.374,0.318,0.43,0.37405099999999997,0.029363163981424075,1.0,0.0
40,math500,think_tag,2000,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,math500,response_whitespace_tokens,2000,42,536.46,26.537100000000002,1073.9007999999994,531.8428,263.5025737160531,0.9815,0.0185
80,math500,eos,2000,42,-0.166,-0.23,-0.106,-0.164778,0.030865169949313417,0.0,1.0
80,math500,truncated,2000,42,0.166,0.106,0.23,0.164778,0.030865169949313417,1.0,0.0
80,math500,fourgram_repetition,2000,42,-0.06991966410054312,-0.11243580098887977,-0.028759441350309764,-0.07026763901897663,0.021050776626547682,0.0005,0.9995
80,math500,distinct_2,2000,42,0.031692579731949076,-0.0026548878113776195,0.06638669950363835,0.03198024479053205,0.017614775081622697,0.9665,0.0335
80,math500,boxed,2000,42,0.192,0.132,0.248,0.192396,0.029359005160257048,1.0,0.0
80,math500,think_tag,2000,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,math500,response_whitespace_tokens,2000,42,1126.134,627.43925,1630.2737,1125.4520159999997,255.3807212659635,1.0,0.0
160,math500,eos,2000,42,-0.19,-0.25005,-0.132,-0.19031599999999999,0.030113587365174544,0.0,1.0
160,math500,truncated,2000,42,0.19,0.132,0.2500499999999997,0.19031599999999999,0.030113587365174544,1.0,0.0
160,math500,fourgram_repetition,2000,42,0.010608870511108235,-0.030161935960415526,0.04957180063713844,0.010534227534595132,0.02064530302276747,0.694,0.306
160,math500,distinct_2,2000,42,-0.041029170849952334,-0.07481471722102027,-0.0064257405116242144,-0.040903567895267855,0.017507174290547097,0.0105,0.9895
160,math500,boxed,2000,42,-0.062,-0.118,-0.008,-0.063124,0.02862636239552626,0.012,0.987
160,math500,think_tag,2000,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
