checkpoint,dataset,metric,n_pairs,mean_opd_minus_frozen_self,median_opd_minus_frozen_self,sign_probability_gt0,sign_probability_lt0
20,math500,response_whitespace_tokens,500,238.868,219.0,0.628,0.372
20,math500,eos,500,-0.184,0.0,0.154,0.338
20,math500,truncated,500,0.184,0.0,0.338,0.154
20,math500,fourgram_repetition,500,-0.04348238897318939,-0.01145226299470425,0.47,0.518
20,math500,distinct_2,500,0.00222948351242348,-0.0123704535214753,0.486,0.51
20,math500,boxed,500,-0.064,0.0,0.196,0.26
20,math500,think_tag,500,0.0,0.0,0.0,0.0
40,math500,response_whitespace_tokens,500,-3136.034,-2334.0,0.312,0.688
40,math500,eos,500,0.18,0.0,0.352,0.172
40,math500,truncated,500,-0.18,0.0,0.172,0.352
40,math500,fourgram_repetition,500,-0.32352701766673053,-0.25485515368577877,0.216,0.784
40,math500,distinct_2,500,0.2606308464905308,0.22985250552293676,0.77,0.23
40,math500,boxed,500,0.374,0.0,0.466,0.092
40,math500,think_tag,500,0.0,0.0,0.0,0.0
80,math500,response_whitespace_tokens,500,536.46,239.5,0.532,0.468
80,math500,eos,500,-0.166,0.0,0.168,0.334
80,math500,truncated,500,0.166,0.0,0.334,0.168
80,math500,fourgram_repetition,500,-0.06991966410054312,-0.07211659743689215,0.382,0.618
80,math500,distinct_2,500,0.031692579731949076,0.037396713218289995,0.566,0.434
80,math500,boxed,500,0.192,0.0,0.332,0.14
80,math500,think_tag,500,0.0,0.0,0.0,0.0
160,math500,response_whitespace_tokens,500,1126.134,558.0,0.558,0.442
160,math500,eos,500,-0.19,0.0,0.15,0.34
160,math500,truncated,500,0.19,0.0,0.34,0.15
160,math500,fourgram_repetition,500,0.010608870511108235,-0.025619027601803547,0.466,0.532
160,math500,distinct_2,500,-0.041029170849952334,-0.01702782167087675,0.466,0.534
160,math500,boxed,500,-0.062,0.0,0.19,0.252
160,math500,think_tag,500,0.0,0.0,0.0,0.0
