analysis,formal_use_class,source_table,metric,metric_direction,module_filter,model,checkpoint,probe_name,module,epsilon,best_value,best_arms,opd_among_best,opd_strict_deepest,opd_tied_deepest,offline_strictly_deeper,opd_value,nearest_offline_value,opd_minus_nearest_offline_margin,arm_values_json
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.down_proj,0.01,7.0,opd,True,True,False,False,7.0,2.0,5.0,"{""offkd"": 1.0, ""opd"": 7.0, ""seqkd"": 0.0, ""sft"": 2.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.down_proj,0.025,10.0,opd,True,True,False,False,10.0,3.0,7.0,"{""offkd"": 1.0, ""opd"": 10.0, ""seqkd"": 0.0, ""sft"": 3.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.down_proj,0.05,12.0,opd,True,True,False,False,12.0,4.0,8.0,"{""offkd"": 1.0, ""opd"": 12.0, ""seqkd"": 0.0, ""sft"": 4.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.down_proj,0.1,13.0,opd,True,True,False,False,13.0,5.0,8.0,"{""offkd"": 1.0, ""opd"": 13.0, ""seqkd"": 0.0, ""sft"": 5.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.gate_proj,0.01,19.0,opd,True,True,False,False,19.0,8.0,11.0,"{""offkd"": 2.0, ""opd"": 19.0, ""seqkd"": -1.0, ""sft"": 8.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.gate_proj,0.025,17.0,opd,True,True,False,False,17.0,7.0,10.0,"{""offkd"": 2.0, ""opd"": 17.0, ""seqkd"": 0.0, ""sft"": 7.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.gate_proj,0.05,12.0,opd,True,True,False,False,12.0,5.0,7.0,"{""offkd"": 2.0, ""opd"": 12.0, ""seqkd"": 0.0, ""sft"": 5.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.gate_proj,0.1,4.0,opd,True,True,False,False,4.0,2.0,2.0,"{""offkd"": 1.0, ""opd"": 4.0, ""seqkd"": 0.0, ""sft"": 2.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.up_proj,0.01,11.0,opd,True,True,False,False,11.0,5.0,6.0,"{""offkd"": 0.0, ""opd"": 11.0, ""seqkd"": -1.0, ""sft"": 5.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.up_proj,0.025,14.0,opd,True,True,False,False,14.0,7.0,7.0,"{""offkd"": 1.0, ""opd"": 14.0, ""seqkd"": -1.0, ""sft"": 7.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.up_proj,0.05,14.0,opd,True,True,False,False,14.0,7.0,7.0,"{""offkd"": 1.0, ""opd"": 14.0, ""seqkd"": -2.0, ""sft"": 7.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,mlp.up_proj,0.1,14.0,opd,True,True,False,False,14.0,7.0,7.0,"{""offkd"": 1.0, ""opd"": 14.0, ""seqkd"": -1.0, ""sft"": 7.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,self_attn.k_proj,0.01,3.0,opd,True,True,False,False,3.0,2.0,1.0,"{""offkd"": 2.0, ""opd"": 3.0, ""seqkd"": 2.0, ""sft"": 0.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,self_attn.k_proj,0.025,3.0,opd,True,True,False,False,3.0,2.0,1.0,"{""offkd"": 2.0, ""opd"": 3.0, ""seqkd"": 2.0, ""sft"": 0.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,self_attn.k_proj,0.05,1.0,opd,True,True,False,False,1.0,0.0,1.0,"{""offkd"": 0.0, ""opd"": 1.0, ""seqkd"": 0.0, ""sft"": -1.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,self_attn.k_proj,0.1,1.0,opd,True,True,False,False,1.0,0.0,1.0,"{""offkd"": 0.0, ""opd"": 1.0, ""seqkd"": 0.0, ""sft"": -1.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,self_attn.o_proj,0.01,21.0,opd,True,True,False,False,21.0,3.0,18.0,"{""offkd"": 0.0, ""opd"": 21.0, ""seqkd"": -3.0, ""sft"": 3.0}"
uncentered_r_epsilon,formal_rr2s_llama_state_spectrum,RR2S_llama_state_spectrum_module.csv,absolute_contraction,max_is_deepest,all,llama,20,E_general,self_attn.o_proj,0.025,19.0,opd,True,True,False,False,19.0,3.0,16.0,"{""offkd"": -1.0, ""opd"": 19.0, ""seqkd"": -3.0, ""sft"": 3.0}"
